Entity,Code,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
Belarus,BLR,0.19248128571428572,0.6957455357142858,0.17798517857142857,2.933313821428572,0.7580245714285715,4.106998928571429,5.286263035714286
Belgium,BEL,0.25876639285714287,0.9534199642857143,0.5617037857142857,5.223736892857143,0.8326043571428572,3.889686785714286,1.4532234285714285
Belize,BLZ,0.19349564285714285,0.8770104285714285,0.24123807142857143,4.530769928571429,0.8345489285714286,2.813347428571429,1.7159181785714286
Benin,BEN,0.16822589285714287,0.6373885714285714,0.11279217857142856,2.8990502857142855,0.47676760714285715,3.59660225,0.98262375
Bermuda,BMU,0.22019617857142856,0.9720313571428572,0.45961832142857145,4.682335321428572,0.8773165357142857,2.9557010357142857,1.4945185
Bhutan,BTN,0.26125364285714286,0.5887201785714286,0.14139610714285714,3.7599219642857142,0.5054485714285714,3.46902775,2.1624873214285714
Bolivia,BOL,0.19034257142857142,0.8502483214285714,0.26705707142857144,4.235961821428572,0.8827812142857142,3.1708300714285715,1.6724944642857142
Bosnia and Herzegovina,BIH,0.19544282142857144,0.7131603214285713,0.13786275,3.385618607142857,0.4128333571428571,2.5000362857142853,2.8125454642857144
Botswana,BWA,0.17650382142857143,0.6341900714285714,0.19971603571428573,3.489454,0.7186680357142857,3.9888503571428573,1.610433142857143
Brazil,BRA,0.20309614285714286,1.1020816071428572,0.25155003571428575,6.0737431428571425,0.9921524285714286,3.6922796071428574,2.6292331428571427
Brunei,BRN,0.27255360714285715,0.6253314285714285,0.5451046785714285,3.6084479999999997,0.8976559285714286,2.5467135,0.7689591428571428
Bulgaria,BGR,0.19852314285714284,0.6280412857142857,0.17818764285714286,3.578273107142857,0.6613809999999999,2.660864357142857,1.8217817857142857
Burkina Faso,BFA,0.1615120357142857,0.6192512857142857,0.10144257142857142,2.891601285714286,0.41636082142857145,3.6097722142857145,0.9799393571428572
Burundi,BDI,0.153603,0.6095066071428572,0.08980267857142857,3.5910984642857144,0.49276385714285714,3.97070325,1.602524
Cambodia,KHM,0.19826264285714285,0.5067593214285714,0.08886492857142857,3.2855027142857147,0.5421685,3.159327464285714,0.8200996428571428
Cameroon,CMR,0.1684780357142857,0.6232470357142857,0.12807328571428572,2.8913435357142854,0.5564196785714286,3.709406571428571,1.0232804285714285
Canada,CAN,0.3144728214285714,0.7160080714285714,0.45837150000000004,5.213987357142857,2.1503215357142857,4.029442678571429,1.560579357142857
Cape Verde,CPV,0.18448353571428572,0.7032197142857143,0.1450712857142857,2.9835029285714287,0.57953,4.031270321428571,0.9651168214285715
Central African Republic,CAF,0.14888689285714288,0.5910868928571428,0.09307982142857142,3.2391295,0.5215460714285715,4.233829642857143,1.4482432857142857
Chad,TCD,0.16485064285714285,0.6251579285714285,0.10950096428571429,2.8898273214285717,0.43719214285714286,3.929674321428571,0.9271476071428572
Chile,CHL,0.19838385714285714,0.7841845000000001,0.3590085714285714,6.245018178571429,1.0652159642857142,4.208619928571428,2.4552166785714284
China,CHN,0.3270591428571428,0.31982939285714285,0.11571507142857143,3.179224142857143,1.0987071428571429,3.437519357142857,1.1544609642857142
Colombia,COL,0.20135717857142857,0.7567797142857142,0.22621332142857145,2.6205425357142857,1.016719642857143,2.3111941071428572,1.6214335
Comoros,COM,0.1693372857142857,0.6535579285714286,0.11155389285714286,3.6060138214285717,0.48660507142857146,3.3302286071428573,1.4929330357142858
Congo,COG,0.16659385714285713,0.6110732142857144,0.14865510714285715,3.2620448214285713,0.5874320357142857,4.168569071428571,1.5109890000000001
Costa Rica,CRI,0.20961110714285716,0.8335262857142858,0.255618,2.890816607142857,0.7380783571428572,2.83770525,1.431267
Cote d'Ivoire,CIV,0.16790410714285714,0.6161901785714285,0.1288295357142857,2.8645881785714287,0.49510814285714283,3.2825215357142854,1.0178913571428572
Croatia,HRV,0.20529242857142857,0.7181858928571428,0.1985289285714286,3.4509206428571426,0.7403198571428572,2.9367738214285715,2.026254964285714
Cuba,CUB,0.20191582142857142,0.9406922857142856,0.23287982142857144,4.614853035714285,0.7609914285714287,3.6644261428571427,1.6515643571428573
Cyprus,CYP,0.2526446785714286,0.9376471071428572,0.4761192142857143,5.287765892857143,0.5716683928571429,3.315425857142857,1.0780733214285714
Czech Republic,CZE,0.20763339285714286,0.7191033928571429,0.22111125,3.4473059642857145,0.8680035,2.800096214285714,1.996197142857143
Democratic Republic of Congo,COD,0.15574892857142858,0.6197061785714286,0.08812114285714286,3.2425702857142857,0.5094422857142857,3.9683976785714283,1.3536979999999998
Denmark,DNK,0.242418,1.008923,0.5163531428571428,5.313583892857143,0.8623477857142857,3.4997741428571425,1.697230392857143
Djibouti,DJI,0.17260928571428572,0.6510392500000001,0.12783907142857143,3.5150243928571427,0.5090043571428572,3.577672035714286,1.5951849285714286
Dominica,DMA,0.19815928571428573,0.8858498214285715,0.2559627857142857,4.546244214285714,0.8962966428571428,2.599819071428571,1.9590205
Dominican Republic,DOM,0.1948149285714286,0.8849213928571428,0.2614011785714286,4.54221175,0.6208834642857143,3.015558392857143,1.5813490714285714
Ecuador,ECU,0.19853892857142857,0.8733534285714286,0.3211606785714286,4.262697785714286,0.6374484642857142,2.930296607142857,1.8484513928571429
Egypt,EGY,0.18425292857142855,0.76890025,0.16745285714285713,4.264750928571429,1.3248572500000002,3.177725214285714,0.6381832857142857
El Salvador,SLV,0.19287453571428573,0.7616011071428571,0.21289342857142857,2.899822142857143,0.5861011428571429,3.084600821428571,2.9782273928571428
Equatorial Guinea,GNQ,0.17200528571428572,0.6183684642857142,0.19595010714285713,3.2870848571428573,0.5497459642857143,4.193281107142857,1.4550685714285714
Eritrea,ERI,0.1578225,0.6143261785714286,0.099982,3.643960214285714,0.5207808214285714,3.898183857142857,1.7776822857142858
Estonia,EST,0.19903310714285713,0.7053138928571429,0.23115014285714283,2.958126,1.024297142857143,4.264454785714286,4.9174506071428565
Ethiopia,ETH,0.15691992857142859,0.6215453214285714,0.08630625,3.685157107142857,0.4880305714285714,3.937355785714286,1.7158874285714287
Fiji,FJI,0.23484007142857144,0.4494026071428571,0.13656328571428572,3.253131607142857,0.7405501071428572,3.1581895357142855,1.0643140357142857
Finland,FIN,0.2674234285714286,1.0089319285714287,0.5685834285714286,3.731060607142857,0.8546533928571429,5.183080178571429,2.72127125
France,FRA,0.25789210714285715,0.9658300714285714,0.5395304642857143,6.6869423928571425,1.1187077857142858,4.3773285714285715,1.42970175
Gabon,GAB,0.18006000000000003,0.6353237142857143,0.21985760714285713,3.2761655714285713,0.6025099642857142,4.115219678571429,1.5393456071428573
Gambia,GMB,0.16890775,0.6430226785714286,0.11180117857142857,2.892756857142857,0.4758829642857143,4.180087642857143,0.9278308214285714
Georgia,GEO,0.19248939285714287,0.7068182500000001,0.14826589285714284,2.6041436785714285,0.45246060714285713,2.7772175357142856,1.9626996785714286
Germany,DEU,0.2517959285714286,0.7749376785714286,0.4962721785714286,6.633030214285715,0.8369993571428571,3.904906142857143,2.063948642857143
Ghana,GHA,0.1704692857142857,0.6369087142857143,0.1267172857142857,2.9020712142857144,0.5574071071428571,3.3720933214285713,0.9785634642857143
Greece,GRC,0.2522601785714286,0.9454318214285714,0.5422774642857143,5.7583027499999995,0.5386950714285714,4.207495535714286,1.0910881428571428
Greenland,GRL,0.3184080714285714,0.5920515000000001,0.50055075,5.6696515000000005,1.814019,6.459108892857143,3.433461607142857
Grenada,GRD,0.19685535714285712,0.8908238571428572,0.25879378571428574,4.551898285714286,0.7590927857142857,2.779978214285714,1.6719508571428572
Guam,GUM,0.26090539285714287,0.4783209642857143,0.24330767857142857,3.3076834642857142,0.7926481428571428,3.462229464285714,1.2341074285714286
Guatemala,GTM,0.1899735,0.7348137857142857,0.21510907142857144,2.864608464285714,0.6928711071428572,3.3601030714285716,2.9552389285714287
Guinea,GIN,0.1654125,0.6273174642857143,0.10882035714285714,2.8923636785714284,0.42993907142857146,3.5186755,0.9237816785714286
Guinea-Bissau,GNB,0.16215364285714284,0.6112646071428571,0.1086355,2.9003363928571426,0.46070464285714285,3.6119941785714285,0.9845624642857143
Guyana,GUY,0.18292882142857142,0.8398856071428572,0.20589992857142855,4.504310535714286,0.7070417857142858,4.059060571428572,1.9825283571428574
Haiti,HTI,0.17110817857142857,0.7983753214285715,0.15850192857142859,4.488309928571429,0.6144741428571429,2.961890285714286,1.66844025
Honduras,HND,0.18676414285714285,0.7434680357142858,0.18657285714285712,2.8325852857142855,0.6793015714285715,2.686380107142857,1.757011892857143
Hungary,HUN,0.20238267857142858,0.7001093571428572,0.2138124285714286,3.4492730000000003,0.67870275,2.946017642857143,2.3181534642857144
Iceland,ISL,0.2568445714285714,0.9458111071428571,0.5204414285714286,5.285206678571428,0.700714,3.462216,1.191292357142857
India,IND,0.2619489642857143,0.5538541785714286,0.12482203571428571,3.2998912500000004,0.4980181428571429,3.7762856428571427,1.3546588214285715
Indonesia,IDN,0.22148328571428572,0.5369446428571428,0.12425139285714284,3.2580467142857144,0.5551848928571429,2.6230581785714286,0.6003791785714286
Iran,IRN,0.19854432142857142,0.8118783214285715,0.2062887142857143,6.932546428571428,1.9126158928571428,4.874332607142857,0.6563714642857142
Iraq,IRQ,0.1856121785714286,0.6626289285714285,0.17751592857142856,4.692432071428571,1.715434857142857,3.7535631428571428,0.6487971071428572
Ireland,IRL,0.31880525,0.8020838928571428,0.47748500000000005,5.769695714285715,1.0492477857142857,4.295589107142857,1.9410058214285715
Israel,ISR,0.2610725,0.9272476071428571,0.41613014285714284,3.0524323214285713,0.674965,4.103596071428571,0.5333543214285714
Italy,ITA,0.2363197142857143,0.9475251428571428,0.6181293571428571,5.514035785714285,1.3356357857142858,3.489029785714286,0.4561383214285714
Jamaica,JAM,0.19855232142857143,0.9240903571428571,0.2515060714285714,4.56591675,0.9321908928571428,2.560096535714286,1.394611107142857
Japan,JPN,0.29469324999999996,0.6874782142857142,0.44765282142857143,3.5386993571428573,0.8658130357142857,3.1004090714285715,0.5655418928571428
Jordan,JOR,0.1915360357142857,0.8092046428571429,0.1712634642857143,4.9079065,1.4717161785714286,3.700730714285714,0.6417492857142858
Kazakhstan,KAZ,0.193215,0.6625478928571429,0.19180542857142857,2.5926068928571433,0.6062185357142857,3.519792464285714,3.035775357142857
Kenya,KEN,0.168731,0.6387242142857142,0.12466139285714285,3.6098116785714285,0.4622347142857143,3.6224876428571426,1.25752
Kiribati,KIR,0.20821707142857143,0.4231626071428571,0.0928915,3.263831785714286,0.7055521428571428,3.2177893214285715,1.0340366785714286
Kuwait,KWT,0.21299307142857143,0.8565445,0.31600225,4.801909785714286,1.4917920714285715,3.556787285714286,0.6743070357142857
Kyrgyzstan,KGZ,0.18077000000000001,0.6611888214285714,0.1245247142857143,2.553457464285714,0.5149106071428571,3.1357615,3.1072353214285715
Laos,LAO,0.20443407142857145,0.5276460714285715,0.10177228571428572,4.165479892857143,0.6453628571428572,2.903124392857143,0.9282275
Latvia,LVA,0.19518742857142857,0.6939010357142857,0.19707175000000002,2.939314535714286,0.9623201785714286,3.716645,4.550338928571429
Lebanon,LBN,0.19560003571428572,0.9895466428571428,0.19968092857142855,6.002981642857143,1.8894547142857143,3.6774715357142855,0.6492430357142858
